speciesKey	scientificName	rank	taxonomicStatus	includes
1000484	Filinia terminalis (Plate, 1886)	SPECIES	ACCEPTED	1000484: Filinia terminalis (Plate, 1886)
1001548	Lepadella deridderae Segers, De Smet & Bonte, 1996	SPECIES	ACCEPTED	6155426: Lepadella deridderae deridderae
1001728	Paradicranophorus sinus De Smet, 2003	SPECIES	ACCEPTED	1001728: Paradicranophorus sinus De Smet, 2003
1001810	Encentrum tenuidigitatum De Smet, 2000	SPECIES	ACCEPTED	1001810: Encentrum tenuidigitatum De Smet, 2000
1001922	Asplanchna priodonta Gosse, 1850	SPECIES	ACCEPTED	1001922: Asplanchna priodonta Gosse, 1850
1002567	Cotylegaleata perplexa De Smet, 2007	SPECIES	ACCEPTED	1002567: Cotylegaleata perplexa De Smet, 2007
1002590	Keratella cochlearis (Gosse, 1851)	SPECIES	ACCEPTED	1002590: Keratella cochlearis (Gosse, 1851)
1002618	Keratella ticinensis (Callerio, 1920)	SPECIES	ACCEPTED	1002618: Keratella ticinensis (Callerio, 1920)
1002639	Keratella tecta (Gosse, 1851)	SPECIES	ACCEPTED	4289565: Keratella cochlearis tecta (Gosse, 1851)
1002648	Keratella quadrata (Müller, 1786)	SPECIES	ACCEPTED	1002648: Keratella quadrata (Müller, 1786)
1002944	Proales christinae De Smet, 1994	SPECIES	ACCEPTED	1002944: Proales christinae De Smet, 1994
1003105	Polyarthra minor Voigt, 1904	SPECIES	ACCEPTED	1003105: Polyarthra minor Voigt, 1904
1003113	Polyarthra dolichoptera Idelson, 1925	SPECIES	ACCEPTED	1003113: Polyarthra dolichoptera Idelson, 1925
1003116	Polyarthra major Burckhardt, 1900	SPECIES	ACCEPTED	1003116: Polyarthra major Burckhardt, 1900
1003117	Polyarthra remata Skorikov, 1896	SPECIES	ACCEPTED	1003117: Polyarthra remata Skorikov, 1896
1003399	Cephalodella segersi De Smet, 1998	SPECIES	ACCEPTED	1003399: Cephalodella segersi De Smet, 1998
1003567	Pectinatella magnifica (Leidy, 1851)	SPECIES	ACCEPTED	1003567: Pectinatella magnifica (Leidy, 1851)
1003652	Cristatella mucedo Cuvier, 1798	SPECIES	ACCEPTED	1003652: Cristatella mucedo Cuvier, 1798
1005979	Hippothoa divaricata Lamouroux, 1821	SPECIES	ACCEPTED	1005979: Hippothoa divaricata Lamouroux, 1821
1008955	Fenestrulina delicia Winston, Hayward & Craig, 2000	SPECIES	ACCEPTED	1008955: Fenestrulina delicia Winston, Hayward & Craig, 2000
1012292	Ommatoiulus sabulosus (Linnaeus, 1758)	SPECIES	ACCEPTED	1012292: Ommatoiulus sabulosus (Linnaeus, 1758)
1013335	Tachypodoiulus niger (Leach, 1814)	SPECIES	ACCEPTED	1013335: Tachypodoiulus niger (Leach, 1814)
1013597	Cylindroiulus truncorum (Silvestri, 1896)	SPECIES	ACCEPTED	1013597: Cylindroiulus truncorum (Silvestri, 1896)
1013651	Cylindroiulus punctatus Leach, 1814	SPECIES	ACCEPTED	1013651: Cylindroiulus punctatus Leach, 1814
1020607	Polydesmus angustus Latzel, 1884	SPECIES	ACCEPTED	1020607: Polydesmus angustus Latzel, 1884
1020671	Polydesmus testaceus Koch & C.L., 1847	SPECIES	ACCEPTED	1020681: Propolydesmus testaceus (C.L.Koch, 1847)
1020936	Eubrachydesmus superus (Latzel, 1884)	SPECIES	ACCEPTED	1020944: Brachydesmus superus Latzel, 1884
