speciesKey	scientificName	rank	taxonomicStatus	includes
1023648	Mycogona germanica (Verhoeff, 1892)	SPECIES	ACCEPTED	1023653: Orthochordeuma germanicum (Verhoeff, 1892)
1028923	Darwinula stevensoni (Brady & Robertson, 1870)	SPECIES	ACCEPTED	1028923: Darwinula stevensoni (Brady & Robertson, 1870)
1029114	Heterocypris incongruens (Ramdohr, 1808)	SPECIES	ACCEPTED	1029114: Heterocypris incongruens (Ramdohr, 1808)
1029148	Cypris reptans Baird, 1836	SPECIES	ACCEPTED	4987736: Herpetocypris reptans (Baird, 1835)
1029180	Cypria ophtalmica (Jurine, 1820)	SPECIES	ACCEPTED	1029180: Cypria ophtalmica (Jurine, 1820)
1029290	Notodromas monacha (O.F.Müller, 1776)	SPECIES	ACCEPTED	1029290: Notodromas monacha (O.F.Müller, 1776)
1029515	Cyprideis torosa (Jones, 1850)	SPECIES	ACCEPTED	1029515: Cyprideis torosa (Jones, 1850)
1029879	Loxoconcha elliptica Brady, 1868	SPECIES	ACCEPTED	1029879: Loxoconcha elliptica Brady, 1868
1031394	Ectopsocus petersi Smithers, 1978	SPECIES	ACCEPTED	1031394: Ectopsocus petersi Smithers, 1978
1031400	Ectopsocus briggsi McLachlan, 1899	SPECIES	ACCEPTED	1031400: Ectopsocus briggsi McLachlan, 1899
1031437	Amphigerontia bifasciata (Latreille, 1799)	SPECIES	ACCEPTED	1031437: Amphigerontia bifasciata (Latreille, 1799)
1031438	Amphigerontia contaminata (Stephens, 1836)	SPECIES	ACCEPTED	1031438: Amphigerontia contaminata (Stephens, 1836)
1031470	Loensia fasciata (Fabricius & J.C., 1787)	SPECIES	ACCEPTED	1031470: Loensia fasciata (Fabricius & J.C., 1787)
1031490	Philotarsus picicornis (Fabricius & J.C., 1793)	SPECIES	ACCEPTED	1031490: Philotarsus picicornis (Fabricius & J.C., 1793)
1031528	Liposcelis corrodens (Heymons, 1909)	SPECIES	ACCEPTED	1031528: Liposcelis corrodens (Heymons, 1909)
1031573	Peripsocus alboguttatus (Dalman, 1823)	SPECIES	ACCEPTED	1031573: Peripsocus alboguttatus (Dalman, 1823)
1031575	Peripsocus subfasciatus (Rambur, 1842)	SPECIES	ACCEPTED	1031575: Peripsocus subfasciatus (Rambur, 1842)
1031576	Peripsocus phaeopterus (Stephens, 1836)	SPECIES	ACCEPTED	1031576: Peripsocus phaeopterus (Stephens, 1836)
1031582	Peripsocus milleri (Tillyard, 1923)	SPECIES	ACCEPTED	1031582: Peripsocus milleri (Tillyard, 1923)
1031620	Lachesilla pedicularia (Linnaeus, 1758)	SPECIES	ACCEPTED	1031620: Lachesilla pedicularia (Linnaeus, 1758)
1031652	Elipsocus abdominalis Reuter, 1904	SPECIES	ACCEPTED	1031652: Elipsocus abdominalis Reuter, 1904
1031653	Elipsocus hyalinus (Stephens, 1836)	SPECIES	ACCEPTED	1031653: Elipsocus hyalinus (Stephens, 1836)
1031667	Cuneopalpus cyanops (Rostock, 1876)	SPECIES	ACCEPTED	1031667: Cuneopalpus cyanops (Rostock, 1876)
1031679	Cerobasis guestfalica (Kolbe, 1880)	SPECIES	ACCEPTED	1031679: Cerobasis guestfalica (Kolbe, 1880)
1031684	Lepinotus patruelis Pearman & J.V., 1931	SPECIES	ACCEPTED	1031684: Lepinotus patruelis Pearman & J.V., 1931
1031692	Graphopsocus cruciatus (Linnaeus, 1768)	SPECIES	ACCEPTED	1031692: Graphopsocus cruciatus (Linnaeus, 1768)
1031710	Valenzuela flavidus (Stephens, 1836)	SPECIES	ACCEPTED	1031710: Valenzuela flavidus (Stephens, 1836)
1031715	Valenzuela atricornis (McLachlan, 1869)	SPECIES	ACCEPTED	1031715: Valenzuela atricornis (McLachlan, 1869)
1031724	Valenzuela burmeisteri (Brauer, 1876)	SPECIES	ACCEPTED	1031724: Valenzuela burmeisteri (Brauer, 1876)
1031737	Psyllipsocus ramburii Selys-Longchamps, 1872	SPECIES	ACCEPTED	1031737: Psyllipsocus ramburii Selys-Longchamps, 1872
1031742	Dorypteryx domestica (Smithers & Courtenay, 1958)	SPECIES	ACCEPTED	1031742: Dorypteryx domestica (Smithers & Courtenay, 1958)
1031796	Pteroxanium kelloggi (Ribaga, 1905)	SPECIES	ACCEPTED	1031796: Pteroxanium kelloggi (Ribaga, 1905)
1032092	Saemundssonia lari (O.Fabricius, 1780)	SPECIES	ACCEPTED	1032092: Saemundssonia lari (O.Fabricius, 1780)
1032455	Pthirus pubis (Linnaeus, 1758)	SPECIES	ACCEPTED	1032455: Pthirus pubis (Linnaeus, 1758)
1032839	Menacanthus stramineus (Nitzsch, 1818)	SPECIES	ACCEPTED	4422680: Eomenacanthus stramineus (Nitzsch, 1818)
1033452	Dryops luridus (Erichson, 1847)	SPECIES	ACCEPTED	1033452: Dryops luridus (Erichson, 1847)
1033746	Simplocaria semistriata (Fabricius, 1801)	SPECIES	ACCEPTED	1033746: Simplocaria semistriata (Fabricius, 1801)
1033938	Helophorus aquaticus (Linnaeus, 1758)	SPECIES	ACCEPTED	1033938: Helophorus aquaticus (Linnaeus, 1758)
1033951	Helophorus grandis (Illiger, 1798)	SPECIES	ACCEPTED	1033951: Helophorus grandis (Illiger, 1798)
1033958	Helophorus brevipalpis Bedel, 1881	SPECIES	ACCEPTED	1033958: Helophorus brevipalpis Bedel, 1881
1033999	Enochrus melanocephalus (Olivier & A.G., 1793)	SPECIES	ACCEPTED	1033999: Enochrus melanocephalus (Olivier & A.G., 1793)
1034063	Anacaena globula (Paykull, 1798)	SPECIES	ACCEPTED	1034063: Anacaena globula (Paykull, 1798)
1034064	Anacaena limbata (Fabricius, 1792)	SPECIES	ACCEPTED	1034064: Anacaena limbata (Fabricius, 1792)
1034067	Anacaena bipustulata (Marsham, 1802)	SPECIES	ACCEPTED	1034067: Anacaena bipustulata (Marsham, 1802)
1034074	Anacaena lutescens (Stephens, 1829)	SPECIES	ACCEPTED	1034074: Anacaena lutescens (Stephens, 1829)
1034244	Cryptopleurum subtile Sharp, 1884	SPECIES	ACCEPTED	1034244: Cryptopleurum subtile Sharp, 1884 | 10514108: BOLD:ABW4289
1034329	Sphaeridium scarabaeoides (Linnaeus, 1758)	SPECIES	ACCEPTED	1034329: Sphaeridium scarabaeoides (Linnaeus, 1758)
1034330	Sphaeridium bipustulatum Fabricius, 1781	SPECIES	ACCEPTED	1034330: Sphaeridium bipustulatum Fabricius, 1781
1034331	Sphaeridium marginatum Fabricius, 1787	SPECIES	ACCEPTED	1034331: Sphaeridium marginatum Fabricius, 1787
1034332	Sphaeridium lunatum Fabricius, 1792	SPECIES	ACCEPTED	1034332: Sphaeridium lunatum Fabricius, 1792
1034338	Megasternum concinnum (Marsham, 1802)	SPECIES	ACCEPTED	5874546: Megasternum obscurum (Marsham, 1802)
1034421	Cercyon melanocephalus (Linnaeus, 1758)	SPECIES	ACCEPTED	1034421: Cercyon melanocephalus (Linnaeus, 1758)
1034424	Cercyon quisquilius (Linnaeus, 1760)	SPECIES	ACCEPTED	1034424: Cercyon quisquilius (Linnaeus, 1760) | 4434231: Cercyon flavipennis Küster, 1848
1034425	Cercyon tristis (Illiger, 1801)	SPECIES	ACCEPTED	1034425: Cercyon tristis (Illiger, 1801)
1034428	Cercyon marinus Thomson & C.G., 1853	SPECIES	ACCEPTED	1034428: Cercyon marinus Thomson & C.G., 1853
1034431	Cercyon littoralis (Gyllenhal, 1808)	SPECIES	ACCEPTED	1034431: Cercyon littoralis (Gyllenhal, 1808)
1034441	Cercyon convexiusculus Stephens, 1829	SPECIES	ACCEPTED	1034441: Cercyon convexiusculus Stephens, 1829
1034449	Cercyon ustulatus (Preyssler, 1790)	SPECIES	ACCEPTED	1034449: Cercyon ustulatus (Preyssler, 1790)
1034452	Cercyon unipunctatus (Linnaeus, 1758)	SPECIES	ACCEPTED	1034452: Cercyon unipunctatus (Linnaeus, 1758)
1034454	Cercyon lateralis (Marsham, 1802)	SPECIES	ACCEPTED	1034454: Cercyon lateralis (Marsham, 1802)
1034462	Cercyon terminatus (Marsham, 1802)	SPECIES	ACCEPTED	1034462: Cercyon terminatus (Marsham, 1802)
1034472	Cercyon analis (Paykull, 1798)	SPECIES	ACCEPTED	1034472: Cercyon analis (Paykull, 1798) | 10074286: BOLD:AAM0572
1034608	Elateroides dermestoides (Linnaeus, 1761)	SPECIES	ACCEPTED	1034608: Elateroides dermestoides (Linnaeus, 1761) | 1034609: Hylecoetus dermestoides Linnaeus, 1761
1035167	Amara lunicollis Schiødte, 1837	SPECIES	ACCEPTED	1035167: Amara lunicollis Schiødte, 1837
1035185	Amara aenea (DeGeer, 1774)	SPECIES	ACCEPTED	1035185: Amara aenea (DeGeer, 1774)
1035194	Amara aulica (Panzer, 1796)	SPECIES	ACCEPTED	1035194: Amara aulica (Panzer, 1796)
1035195	Amara familiaris (Duftschmid, 1812)	SPECIES	ACCEPTED	1035195: Amara familiaris (Duftschmid, 1812)
1035204	Amara anthobia A. & G.B.Villa, 1833	SPECIES	ACCEPTED	1035204: Amara anthobia A. & G.B.Villa, 1833
1035208	Amara bifrons (Gyllenhal, 1810)	SPECIES	ACCEPTED	1035208: Amara bifrons (Gyllenhal, 1810)
1035231	Amara apricaria (Paykull, 1790)	SPECIES	ACCEPTED	1035231: Amara apricaria (Paykull, 1790) | 10582403: BOLD:AAH2780
1035290	Loricera pilicornis (Fabricius, 1775)	SPECIES	ACCEPTED	1035290: Loricera pilicornis (Fabricius, 1775)
1035434	Bradycellus harpalinus (Audinet-Serville, 1821)	SPECIES	ACCEPTED	1035434: Bradycellus harpalinus (Audinet-Serville, 1821) | 10169302: BOLD:AAW7082
1035551	Elaphrus riparius (Linnaeus, 1758)	SPECIES	ACCEPTED	1035551: Elaphrus riparius (Linnaeus, 1758)
1035556	Tachyta nana (Gyllenhal, 1810)	SPECIES	ACCEPTED	1035556: Tachyta nana (Gyllenhal, 1810)
1035578	Nebria brevicollis (Fabricius, 1792)	SPECIES	ACCEPTED	1035578: Nebria brevicollis (Fabricius, 1792) | 10508037: BOLD:AAH0297
1035929	Bembidion testaceum (Duftschmid, 1812)	SPECIES	ACCEPTED	1035929: Bembidion testaceum (Duftschmid, 1812)
1035931	Bembidion tetracolum Say, 1823	SPECIES	ACCEPTED	1035931: Bembidion tetracolum Say, 1823
1036066	Bembidion semipunctatum (Donovan, 1806)	SPECIES	ACCEPTED	1036066: Bembidion semipunctatum (Donovan, 1806)
1036128	Bembidion quadrimaculatum (Linnaeus, 1760)	SPECIES	ACCEPTED	1036128: Bembidion quadrimaculatum (Linnaeus, 1760)
1036154	Bembidion guttula (Fabricius, 1792)	SPECIES	ACCEPTED	1036154: Bembidion guttula (Fabricius, 1792)
1036192	Bembidion obtusum Audinet-Serville, 1821	SPECIES	ACCEPTED	1036192: Bembidion obtusum Audinet-Serville, 1821
1036203	Bembidion properans (Stephens, 1828)	SPECIES	ACCEPTED	1036203: Bembidion properans (Stephens, 1828)
1036216	Bembidion lampros (Herbst, 1784)	SPECIES	ACCEPTED	1036216: Bembidion lampros (Herbst, 1784)
1036255	Bembidion bruxellense Wesmael, 1835	SPECIES	ACCEPTED	1036255: Bembidion bruxellense Wesmael, 1835
1036779	Carabus auratus Linnaeus, 1761	SPECIES	ACCEPTED	1036779: Carabus auratus Linnaeus, 1761
1036789	Carabus granulatus Linnaeus, 1758	SPECIES	ACCEPTED	1036789: Carabus granulatus Linnaeus, 1758 | 4470433: Carabus granulatus granulatus
1036796	Asaphidion flavipes (Linnaeus, 1760)	SPECIES	ACCEPTED	1036796: Asaphidion flavipes (Linnaeus, 1760) | 9342386: Tachypus flavipes (Linnaeus, 1760)
1036893	Clivina fossor (Linnaeus, 1758)	SPECIES	ACCEPTED	1036893: Clivina fossor (Linnaeus, 1758)
1036899	Clivina collaris (Herbst, 1784)	SPECIES	ACCEPTED	1036899: Clivina collaris (Herbst, 1784)
1036917	Anisodactylus binotatus (Fabricius, 1787)	SPECIES	ACCEPTED	1036917: Anisodactylus binotatus (Fabricius, 1787)
1037319	Trechus obtusus Erichson, 1837	SPECIES	ACCEPTED	1037319: Trechus obtusus Erichson, 1837 | 10034248: BOLD:ACC4145
1037633	Acupalpus meridianus (Linnaeus, 1760)	SPECIES	ACCEPTED	1037633: Acupalpus meridianus (Linnaeus, 1760)
1037890	Hydrovatus cuspidatus (Kunze, 1818)	SPECIES	ACCEPTED	1037890: Hydrovatus cuspidatus (Kunze, 1818)
1037897	Nebrioporus depressus (Fabricius, 1775)	SPECIES	ACCEPTED	7597730: Potamonectes depressus (Fabricius, 1775)
1037908	Graphoderus cinereus (Linnaeus, 1758)	SPECIES	ACCEPTED	1037908: Graphoderus cinereus (Linnaeus, 1758) | 9880888: Graphoderes cinereus (Linnaeus, 1758)
1037974	Agabus undulatus (Schrank, 1776)	SPECIES	ACCEPTED	1037974: Agabus undulatus (Schrank, 1776)
1037977	Agabus affinis (Paykull, 1798)	SPECIES	ACCEPTED	1037977: Agabus affinis (Paykull, 1798)
1037986	Agabus congener (Thunberg, 1794)	SPECIES	ACCEPTED	1037986: Agabus congener (Thunberg, 1794)
1038059	Dytiscus circumcinctus Ahrens, 1811	SPECIES	ACCEPTED	1038059: Dytiscus circumcinctus Ahrens, 1811
1038064	Dytiscus marginalis Linnaeus, 1758	SPECIES	ACCEPTED	1038064: Dytiscus marginalis Linnaeus, 1758 | 6277497: Dytiscus marginalis marginalis
1038118	Oreodytes sanmarkii (C.R.Sahlberg, 1826)	SPECIES	ACCEPTED	1038118: Oreodytes sanmarkii (C.R.Sahlberg, 1826) | 7043354: Oreodytes sanmarkii sanmarkii
1038153	Bidessus unistriatus (Goeze, 1777)	SPECIES	ACCEPTED	1038153: Bidessus unistriatus (Goeze, 1777)
1038207	Hydroporus striola (Gyllenhal, 1826)	SPECIES	ACCEPTED	1038207: Hydroporus striola (Gyllenhal, 1826)
1038219	Hydroporus tristis (Paykull, 1798)	SPECIES	ACCEPTED	1038219: Hydroporus tristis (Paykull, 1798)
1038224	Hydroporus morio Aubé, 1838	SPECIES	ACCEPTED	1038224: Hydroporus morio Aubé, 1838
1038248	Hydroporus obscurus Sturm, 1835	SPECIES	ACCEPTED	1038248: Hydroporus obscurus Sturm, 1835
1038313	Laccophilus minutus (Linnaeus, 1758)	SPECIES	ACCEPTED	1038313: Laccophilus minutus (Linnaeus, 1758) | 7358380: Laccophilus obscurus
1038376	Neoporus vittatipennis (Gemminger & Harold, 1868)	SPECIES	ACCEPTED	1038377: Hydroporus lineolatus LeConte, 1855
1038508	Laccornis oblongus (Stephens, 1835)	SPECIES	ACCEPTED	1038508: Laccornis oblongus (Stephens, 1835)
1038554	Suphrodytes dorsalis (Fabricius, 1787)	SPECIES	ACCEPTED	1038554: Suphrodytes dorsalis (Fabricius, 1787)
1038561	Hygrotus novemlineatus (Stephens, 1829)	SPECIES	ACCEPTED	1038561: Hygrotus novemlineatus (Stephens, 1829)
1038574	Hygrotus impressopunctatus (Schaller, 1783)	SPECIES	ACCEPTED	1038574: Hygrotus impressopunctatus (Schaller, 1783) | 6097305: Coelambus impressopunctatus (Schaller, 1783)
1038776	Ilybius ater (De Geer, 1774)	SPECIES	ACCEPTED	1038776: Ilybius ater (De Geer, 1774)
1038778	Ilybius fuliginosus (Fabricius, 1792)	SPECIES	ACCEPTED	1038778: Ilybius fuliginosus (Fabricius, 1792) | 7199558: Ilybius fuliginosus fuliginosus
1038781	Ilybius fenestratus (Fabricius, 1781)	SPECIES	ACCEPTED	1038781: Ilybius fenestratus (Fabricius, 1781)
1038798	Ilybius subaeneus Erichson, 1837	SPECIES	ACCEPTED	1038798: Ilybius subaeneus Erichson, 1837
1038937	Laricobius erichsoni Rosenhauer, 1846	SPECIES	ACCEPTED	1038937: Laricobius erichsoni Rosenhauer, 1846
1038994	Nicrophorus vestigator (Herschel, 1807)	SPECIES	ACCEPTED	6097306: Necrophorus vestigator Herschel, 1807
1038996	Nicrophorus investigator (Zetterstedt, 1824)	SPECIES	ACCEPTED	1038996: Nicrophorus investigator (Zetterstedt, 1824) | 6097309: Necrophorus investigator Zetterstedt, 1824
1039003	Nicrophorus humator (Gleditsch, 1767)	SPECIES	ACCEPTED	1039003: Nicrophorus humator (Gleditsch, 1767) | 6097307: Necrophorus humator (Gleditsch, 1767) | 10604113: BOLD:AAF2685
1039006	Nicrophorus vespilloides Herbst, 1783	SPECIES	ACCEPTED	1039006: Nicrophorus vespilloides Herbst, 1783 | 6097308: Necrophorus vespilloides Herbst, 1783 | 9964094: BOLD:AAF3432
1039017	Nicrophorus vespillo (Linnaeus, 1758)	SPECIES	ACCEPTED	1039017: Nicrophorus vespillo (Linnaeus, 1758)
1039019	Nicrophorus interruptus (Stephens, 1830)	SPECIES	ACCEPTED	1039019: Nicrophorus interruptus (Stephens, 1830)
1039067	Ochthebius marinus (Paykull, 1798)	SPECIES	ACCEPTED	1039067: Ochthebius marinus (Paykull, 1798)
1039254	Creophilus maxillosus (Linnaeus, 1758)	SPECIES	ACCEPTED	1039254: Creophilus maxillosus (Linnaeus, 1758)
1039424	Gymnusa brevicollis (Paykull, 1800)	SPECIES	ACCEPTED	1039424: Gymnusa brevicollis (Paykull, 1800)
1039457	Trichonyx sulcicollis (Reichenbach, 1816)	SPECIES	ACCEPTED	1039457: Trichonyx sulcicollis (Reichenbach, 1816) | 10464214: BOLD:AAO4448
1039462	Anotylus nitidulus (Gravenhorst, 1802)	SPECIES	ACCEPTED	1039462: Anotylus nitidulus (Gravenhorst, 1802) | 4440504: Oxytelus nitidulus Gravenhorst, 1802
1039463	Anotylus rugosus (Fabricius, 1775)	SPECIES	ACCEPTED	1039463: Anotylus rugosus (Fabricius, 1775)
1039464	Anotylus tetracarinatus (Block, 1799)	SPECIES	ACCEPTED	1039464: Anotylus tetracarinatus (Block, 1799) | 9472181: Oxytelus tetracarinatus (Block, 1799)
1039514	Atheta palustris (Kiesenwetter, 1844)	SPECIES	ACCEPTED	1039514: Atheta palustris (Kiesenwetter, 1844) | 10565451: BOLD:AAN6150
1039693	Carpelimus bilineatus (Stephens, 1834)	SPECIES	ACCEPTED	1039693: Carpelimus bilineatus (Stephens, 1834)
1039712	Carpelimus pusillus (Gravenhorst, 1802)	SPECIES	ACCEPTED	1039712: Carpelimus pusillus (Gravenhorst, 1802)
1039716	Carpelimus corticinus (Gravenhorst, 1806)	SPECIES	ACCEPTED	1039716: Carpelimus corticinus (Gravenhorst, 1806)
1039734	Carpelimus gracilis (Mannerheim, 1830)	SPECIES	ACCEPTED	1039734: Carpelimus gracilis (Mannerheim, 1830) | 9915663: BOLD:AAO0549
1039761	Carpelimus rivularis (Motschulsky, 1860)	SPECIES	ACCEPTED	1039761: Carpelimus rivularis (Motschulsky, 1860)
1039967	Deleaster dichrous (Gravenhorst, 1802)	SPECIES	ACCEPTED	1039967: Deleaster dichrous (Gravenhorst, 1802)
1039975	Oxytelus laqueatus (Marsham, 1802)	SPECIES	ACCEPTED	1039975: Oxytelus laqueatus (Marsham, 1802)
1040045	Oligota parva Kraatz, 1862	SPECIES	ACCEPTED	1040045: Oligota parva Kraatz, 1862
1040046	Oligota pusillima (Gravenhorst, 1806)	SPECIES	ACCEPTED	1040046: Oligota pusillima (Gravenhorst, 1806)
1040076	Coprophilus striatulus (Fabricius, 1792)	SPECIES	ACCEPTED	1040076: Coprophilus striatulus (Fabricius, 1792)
1040164	Crataraea suturalis (Mannerheim, 1830)	SPECIES	ACCEPTED	1040164: Crataraea suturalis (Mannerheim, 1830)
1040172	Philonthus longicornis Stephens, 1832	SPECIES	ACCEPTED	1040172: Philonthus longicornis Stephens, 1832
1040356	Platystethus degener Mulsant & Rey, 1878	SPECIES	ACCEPTED	1040356: Platystethus degener Mulsant & Rey, 1878
1040357	Platystethus arenarius (Geoffroy, 1785)	SPECIES	ACCEPTED	1040357: Platystethus arenarius (Geoffroy, 1785)
1040429	Stenus tarsalis Ljungh, 1810	SPECIES	ACCEPTED	1040429: Stenus tarsalis Ljungh, 1810
1040505	Stenus biguttatus (Linnaeus, 1758)	SPECIES	ACCEPTED	1040505: Stenus biguttatus (Linnaeus, 1758)
1040526	Stenus juno (Paykull, 1789)	SPECIES	ACCEPTED	1040526: Stenus juno (Paykull, 1789)
1040723	Aleochara bilineata Gyllenhal, 1810	SPECIES	ACCEPTED	1040723: Aleochara bilineata Gyllenhal, 1810
1040748	Aleochara curtula (Goeze, 1777)	SPECIES	ACCEPTED	1040748: Aleochara curtula (Goeze, 1777)
1040775	Aleochara lanuginosa Gravenhorst, 1802	SPECIES	ACCEPTED	1040775: Aleochara lanuginosa Gravenhorst, 1802
1040779	Aleochara bipustulata (Linnaeus, 1760)	SPECIES	ACCEPTED	1040779: Aleochara bipustulata (Linnaeus, 1760) | 10291584: BOLD:AAJ2457
1040922	Atheta dadopora Thomson & C.G., 1867	SPECIES	ACCEPTED	1040922: Atheta dadopora Thomson & C.G., 1867
1041060	Atheta sodalis (Erichson, 1837)	SPECIES	ACCEPTED	1041060: Atheta sodalis (Erichson, 1837)
1041063	Atheta harwoodi Williams & B.S., 1930	SPECIES	ACCEPTED	1041063: Atheta harwoodi Williams & B.S., 1930
1041085	Atheta longicornis (Gravenhorst, 1802)	SPECIES	ACCEPTED	1041085: Atheta longicornis (Gravenhorst, 1802)
1041094	Atheta pallidicornis (Thomson & C.G., 1856)	SPECIES	ACCEPTED	1041094: Atheta pallidicornis (Thomson & C.G., 1856) | 10467172: BOLD:AAO0979
1041424	Homalota plana (Gyllenhal, 1810)	SPECIES	ACCEPTED	1041424: Homalota plana (Gyllenhal, 1810) | 10134495: BOLD:AAO0434
1041477	Myrmecocephalus concinnus (Erichson, 1839)	SPECIES	ACCEPTED	1041477: Myrmecocephalus concinnus (Erichson, 1839)
1041545	Gyrophaena affinis C.Sahlberg, 1834	SPECIES	DOUBTFUL	10159670: BOLD:ABW9049
1041551	Gyrophaena nana (Paykull, 1800)	SPECIES	ACCEPTED	1041551: Gyrophaena nana (Paykull, 1800)
1041686	Dalotia coriaria (Kraatz, 1856)	SPECIES	ACCEPTED	1041688: Atheta coriaria (Kraatz, 1856)
1041768	Geostiba circellaris (Gravenhorst, 1806)	SPECIES	ACCEPTED	1041768: Geostiba circellaris (Gravenhorst, 1806)
1041849	Aloconota sulcifrons (Stephens, 1832)	SPECIES	ACCEPTED	1041849: Aloconota sulcifrons (Stephens, 1832)
1041879	Gabrius nigritulus (Gravenhorst, 1802)	SPECIES	ACCEPTED	1041879: Gabrius nigritulus (Gravenhorst, 1802) | 10186088: Philonthus nigritulus Gravenhorst, 1802
1042006	Oxypoda opaca (Gravenhorst, 1802)	SPECIES	ACCEPTED	1042006: Oxypoda opaca (Gravenhorst, 1802) | 9976599: BOLD:AAN1581
1042204	Amischa analis (Gravenhorst, 1802)	SPECIES	ACCEPTED	1042204: Amischa analis (Gravenhorst, 1802)
1042212	Dinaraea angustula (Gyllenhal, 1810)	SPECIES	ACCEPTED	1042212: Dinaraea angustula (Gyllenhal, 1810)
1042278	Bledius gallicus (Gravenhorst, 1806)	SPECIES	ACCEPTED	1042278: Bledius gallicus (Gravenhorst, 1806)
1042354	Bledius opacus (Block, 1799)	SPECIES	ACCEPTED	1042354: Bledius opacus (Block, 1799)
1042420	Placusa tachyporoides (Waltl, 1838)	SPECIES	ACCEPTED	1042420: Placusa tachyporoides (Waltl, 1838) | 10356750: BOLD:AAO1480
1042443	Mocyta fungi (Gravenhorst, 1806)	SPECIES	ACCEPTED	1042445: Atheta fungi (Gravenhorst, 1806)
1042697	Symbiotes gibberosus (Lucas, 1849)	SPECIES	ACCEPTED	1042697: Symbiotes gibberosus (Lucas, 1849) | 10412501: BOLD:ACA8446
1042787	Mycetaea subterranea (Fabricius, 1801)	SPECIES	ACCEPTED	1042787: Mycetaea subterranea (Fabricius, 1801) | 10426356: BOLD:AAP7399
1042877	Placonotus modestus (Say, 1827)	SPECIES	ACCEPTED	4453257: Placonotus testaceus (Fabricius, 1787)
1043066	Hippodamia tredecimpunctata (Linnaeus, 1758)	SPECIES	ACCEPTED	1043066: Hippodamia tredecimpunctata (Linnaeus, 1758)
1043082	Hippodamia variegata (Goeze, 1777)	SPECIES	ACCEPTED	1043082: Hippodamia variegata (Goeze, 1777)
1043097	Adalia bipunctata (Linnaeus, 1758)	SPECIES	ACCEPTED	1043097: Adalia bipunctata (Linnaeus, 1758)
